date,dir,entry,exit,pnl,reason,score,bars,bear_period
2025-11-04,SHORT,3970.74,3950.43565340311,5530.8679368556295,TP2,-6.0,1,False
2025-11-04,SHORT,3961.36,3956.78,1011.7357683689827,SESS,-6.0,4,False
2025-11-10,LONG,4082.64,4076.915925076273,-2379.515454652429,SL,6.0,1,False
2025-11-10,LONG,4083.65,4077.9329107378458,-2308.1299910128732,SL,6.0,1,False
2025-11-28,LONG,4190.01807,4205.39043,4890.176747808202,TIME,10.0,6,False
2025-12-01,LONG,4245.88941,4239.762426272256,-2466.1912930028716,SL,6.0,1,False
2025-12-02,LONG,4217.43473,4211.2925085715415,-2392.2055542125972,SL,2.0,2,False
2025-12-03,LONG,4225.04317,4225.04317,2784.5272651037335,SL,6.0,3,False
2025-12-03,LONG,4221.37706,4211.67666,-2910.6629947056554,SESS,6.0,5,False
2025-12-04,LONG,4196.43411,4213.29625,5475.50215451154,TIME,6.0,6,False
2025-12-05,LONG,4233.659,4246.917096957342,6715.5198003819405,TP2,2.0,3,False
2025-12-08,SHORT,4195.14871,4186.43785,3631.5555438034535,SESS,-6.0,1,False
2025-12-16,LONG,4319.02305,4311.915567293885,-2961.2753394238093,SL,6.0,4,False
2025-12-17,LONG,4331.24424,4331.24424,3446.9244950893494,SL,6.0,5,False
2025-12-17,LONG,4330.60085,4333.43569,1357.7125141031026,SESS,6.0,0,False
2025-12-18,LONG,4337.2392,4332.192584782288,-3119.983924369408,SL,2.0,2,False
2025-12-18,LONG,4333.48515,4357.659914480533,7666.840496817424,TP2,2.0,5,False
2025-12-22,LONG,4422.22672,4417.521877016811,-3256.389621542667,SL,2.0,2,False
2025-12-26,LONG,4522.86294,4542.379838024241,8002.034763338346,TP2,2.0,3,False
2026-01-02,SHORT,4370.49143,4346.188848549344,8610.189405352085,TP2,-6.0,4,False
2026-01-06,LONG,4473.50415,4488.35059,7476.140717208582,SESS,6.0,4,False
2026-01-12,LONG,4603.06891,4631.266434047325,10166.274791472257,TP2,6.0,5,False
2026-01-12,LONG,4611.96127,4616.45081,2298.597541651038,SESS,6.0,0,False
2026-01-13,LONG,4614.21067,4605.918068866464,-4386.9493771538655,SL,6.0,3,False
2026-01-13,LONG,4607.83918,4607.38969,-217.2531143789804,SESS,6.0,0,False
2026-01-15,LONG,4606.48992,4610.26994,2382.1200932611214,SESS,2.0,0,False
2026-01-20,LONG,4738.93591,4731.9266807174145,-4320.286905205428,SL,2.0,3,False
2026-01-20,LONG,4732.4358,4753.04311,11800.209880364138,SESS,2.0,4,False
2026-01-21,LONG,4862.28516,4851.761476706703,-4544.684594460235,SL,6.0,1,False
2026-01-26,LONG,5079.65354,5079.65354,5290.012867951903,SL,10.0,3,False
2026-01-26,LONG,5077.67492,5094.75624,6837.2789261579155,SESS,10.0,0,False
2026-02-02,SHORT,4692.57549,4703.66417,-1441.3058236943518,SESS,-6.0,2,False
2026-02-05,SHORT,4832.94374,4853.996760828733,-4887.624021777717,SL,-2.0,1,False
2026-02-10,LONG,5055.97719,5045.799542081047,-4740.995301124187,SL,10.0,1,False
2026-02-25,LONG,5180.3641,5206.912776850851,11650.205786629707,TP2,2.0,5,False
2026-02-27,LONG,5224.64102,5253.725596526331,12535.621426413203,TP2,6.0,6,False
2026-03-03,SHORT,5105.04568,5135.555107516262,-5324.340258481822,SL,-2.0,2,False
2026-03-06,SHORT,5103.96914,5119.98989313204,-5164.610050727366,SL,-6.0,3,False
2026-03-12,SHORT,5156.4717,5132.447781009586,12691.168431320893,TP2,-2.0,4,False
2026-03-19,SHORT,4616.65736,4577.69052,7231.500499985949,TIME,-10.0,6,False
2026-03-19,SHORT,4617.34652,4583.97981,7462.6500864656,SESS,-10.0,1,False
2026-03-20,SHORT,4584.97532,4602.310562504536,-5831.231319738862,SL,-2.0,1,False
2026-03-25,SHORT,4551.72624,4564.625148042113,-5656.294380146599,SL,-6.0,2,False
2026-03-25,SHORT,4556.99619,4552.77937,1786.388399351084,SESS,-6.0,5,False
2026-04-01,LONG,4741.46048,4779.692937985303,14035.166241830972,TP2,6.0,5,False
2026-04-02,LONG,4666.56753,4650.896329665222,-5961.2521879777105,SL,2.0,3,False
2026-04-02,LONG,4663.59682,4662.99433,-266.0378033331931,SESS,2.0,0,False
2026-04-09,LONG,4766.2942,4757.162680123303,-5774.433488238349,SL,6.0,1,False
2026-04-10,LONG,4774.38774,4765.612129442255,-5601.200483591278,SL,2.0,3,False
2026-04-14,LONG,4795.95356,4815.50751,11697.816217447818,TIME,2.0,6,False
2026-04-15,LONG,4824.98849,4819.53128084503,-5979.692876493408,SL,10.0,1,False
2026-04-20,LONG,4805.41086,4796.438060053755,-5800.302090198956,SL,10.0,2,False
